version,hilos,n_solicitado,frame,fase,update_ms,mobs_ms,build_ms,sombras_ms,cpu_ms,frame_ms,fps
paralelo,12,2000000,61,sostenido,1.05650,0.00030,2.80780,0.00010,3.86570,7.97940,125.323
paralelo,12,2000000,62,sostenido,1.05380,0.00020,2.59060,0.00020,3.64580,7.46710,133.921
paralelo,12,2000000,63,sostenido,1.38680,0.00020,3.11720,0.00020,4.50560,8.86060,112.859
paralelo,12,2000000,64,sostenido,1.17780,0.00020,2.50350,0.00030,3.68250,7.43640,134.474
paralelo,12,2000000,65,sostenido,1.10350,0.00010,2.41690,0.00010,3.52160,7.97170,125.444
paralelo,12,2000000,66,sostenido,1.49920,0.00020,3.21440,0.00020,4.71520,8.57000,116.686
paralelo,12,2000000,67,sostenido,1.06340,0.00020,2.78110,0.00010,3.84560,8.15610,122.608
paralelo,12,2000000,68,sostenido,1.35880,0.00030,3.10420,0.00010,4.46440,8.49470,117.720
paralelo,12,2000000,69,sostenido,1.16360,0.00020,2.71250,0.00020,3.87730,8.13980,122.853
paralelo,12,2000000,70,sostenido,1.14800,0.00020,2.50400,0.00020,3.65330,7.64280,130.842
paralelo,12,2000000,71,sostenido,1.04510,0.00020,2.43210,0.00000,3.47860,7.53030,132.797
paralelo,12,2000000,72,sostenido,1.44250,0.00030,2.91510,0.00020,4.35920,8.88230,112.583
paralelo,12,2000000,73,sostenido,1.17620,0.00020,2.31470,0.00030,3.49220,8.24400,121.300
paralelo,12,2000000,74,sostenido,1.78390,0.00050,2.49000,0.00020,4.27560,8.20920,121.815
paralelo,12,2000000,75,sostenido,1.07370,0.00030,2.43740,0.00010,3.51240,7.79070,128.358
paralelo,12,2000000,76,sostenido,1.45630,0.00030,2.99730,0.00020,4.45510,8.26060,121.057
paralelo,12,2000000,77,sostenido,1.00490,0.00020,2.37470,0.00010,3.38110,7.71760,129.574
paralelo,12,2000000,78,sostenido,1.08450,0.00020,2.35820,0.00000,3.44400,7.23440,138.228
paralelo,12,2000000,79,sostenido,1.04160,0.00030,2.44340,0.00030,3.48640,7.47190,133.835
paralelo,12,2000000,80,sostenido,1.42420,0.00030,2.63530,0.00020,4.06100,7.88170,126.876
paralelo,12,2000000,81,sostenido,1.06180,0.00030,2.46680,0.00010,3.53020,7.66170,130.519
paralelo,12,2000000,82,sostenido,1.30110,0.00020,3.16280,0.00020,4.46510,8.51540,117.434
paralelo,12,2000000,83,sostenido,1.00670,0.00030,2.51040,0.00010,3.51860,7.30400,136.911
paralelo,12,2000000,84,sostenido,1.00230,0.00040,2.91880,0.00020,3.92250,7.95910,125.642
paralelo,12,2000000,85,sostenido,1.02920,0.00030,2.55060,0.00020,3.58120,7.36200,135.833
paralelo,12,2000000,86,sostenido,1.67380,0.00030,3.61050,0.00020,5.28570,9.35900,106.849
paralelo,12,2000000,87,sostenido,1.19120,0.00030,2.87490,0.00020,4.06760,8.04820,124.251
paralelo,12,2000000,88,sostenido,1.44530,0.00020,3.16850,0.00020,4.61510,8.69970,114.946
paralelo,12,2000000,89,sostenido,1.14140,0.00020,3.28320,0.00010,4.42580,8.91030,112.230
paralelo,12,2000000,90,sostenido,1.26740,0.00030,3.46950,0.00020,4.73830,8.61160,116.122
paralelo,12,2000000,91,sostenido,1.42370,0.00020,3.37950,0.00020,4.80460,8.84860,113.012
paralelo,12,2000000,92,sostenido,1.31600,0.00030,3.15380,0.00020,4.47140,8.44680,118.388
paralelo,12,2000000,93,sostenido,1.44140,0.00040,3.24900,0.00010,4.69210,8.74340,114.372
paralelo,12,2000000,94,sostenido,1.36100,0.00030,3.35340,0.00020,4.71590,8.72720,114.584
paralelo,12,2000000,95,sostenido,1.10090,0.00020,2.47180,0.00010,3.57380,7.46960,133.876
paralelo,12,2000000,96,sostenido,1.56650,0.00040,3.69110,0.00010,5.25930,9.46300,105.675
paralelo,12,2000000,97,sostenido,1.48860,0.00030,3.12340,0.00010,4.61350,8.43890,118.499
paralelo,12,2000000,98,sostenido,1.35360,0.00020,3.60730,0.00020,4.96210,9.06250,110.345
paralelo,12,2000000,99,sostenido,1.15410,0.00030,2.50580,0.00000,3.66120,7.49320,133.454
paralelo,12,2000000,100,sostenido,1.55840,0.00030,3.56400,0.00020,5.12380,9.27200,107.852
paralelo,12,2000000,101,sostenido,1.42810,0.00030,2.73400,0.00020,4.16380,7.96880,125.489
paralelo,12,2000000,102,sostenido,1.63570,0.00020,3.45520,0.00020,5.09220,9.05140,110.480
paralelo,12,2000000,103,sostenido,1.01590,0.00020,2.39130,0.00010,3.40830,7.39310,135.261
paralelo,12,2000000,104,sostenido,1.33990,0.00030,2.78520,0.00020,4.12660,7.99680,125.050
paralelo,12,2000000,105,sostenido,1.00950,0.00020,2.40460,0.00020,3.41520,7.40400,135.062
paralelo,12,2000000,106,sostenido,1.35800,0.00020,3.20270,0.00020,4.56200,8.44830,118.367
paralelo,12,2000000,107,sostenido,1.30920,0.00020,2.35740,0.00010,3.66820,7.73990,129.201
paralelo,12,2000000,108,sostenido,1.51170,0.00020,4.18960,0.00010,5.70280,9.68870,103.213
paralelo,12,2000000,109,sostenido,1.53140,0.00030,3.55210,0.00020,5.08570,9.64120,103.722
paralelo,12,2000000,110,sostenido,1.88650,0.00020,3.35790,0.00010,5.24580,9.26790,107.899
paralelo,12,2000000,111,sostenido,1.11640,0.00030,3.11520,0.00010,4.23310,8.38790,119.219
paralelo,12,2000000,112,sostenido,1.32700,0.00020,3.48600,0.00010,4.81440,8.92270,112.074
paralelo,12,2000000,113,sostenido,1.06810,0.00010,2.49070,0.00010,3.56030,7.62910,131.077
paralelo,12,2000000,114,sostenido,1.07410,0.00020,2.41150,0.00010,3.48700,7.45810,134.082
paralelo,12,2000000,115,sostenido,1.15730,0.00020,2.51920,0.00020,3.67780,7.46280,133.998
paralelo,12,2000000,116,sostenido,1.32230,0.00020,2.41210,0.00000,3.73570,7.66340,130.490
paralelo,12,2000000,117,sostenido,1.07140,0.00020,2.75400,0.00020,3.82680,7.84090,127.536
paralelo,12,2000000,118,sostenido,1.52080,0.00020,3.58520,0.00030,5.10770,9.05700,110.412
paralelo,12,2000000,119,sostenido,1.42020,0.00020,2.23620,0.00030,3.65790,7.66720,130.426
paralelo,12,2000000,120,sostenido,1.32260,0.00030,3.16840,0.00020,4.49270,8.44020,118.481
paralelo,12,2000000,121,sostenido,1.39990,0.00020,2.82820,0.00020,4.22920,8.23960,121.365
paralelo,12,2000000,122,sostenido,1.33980,0.00020,3.27120,0.00030,4.61650,8.41860,118.785
paralelo,12,2000000,123,sostenido,1.06660,0.00040,2.65760,0.00010,3.72570,7.56740,132.146
paralelo,12,2000000,124,sostenido,1.48940,0.00030,3.31180,0.00020,4.80280,8.96310,111.569
paralelo,12,2000000,125,sostenido,1.03590,0.00020,2.46490,0.00010,3.50200,7.29890,137.007
paralelo,12,2000000,126,sostenido,1.13770,0.00050,3.55990,0.00020,4.69920,8.83890,113.136
paralelo,12,2000000,127,sostenido,1.12900,0.00020,2.41290,0.00010,3.54310,7.34910,136.071
paralelo,12,2000000,128,sostenido,1.29450,0.00040,3.72040,0.00060,5.01740,9.53290,104.900
paralelo,12,2000000,129,sostenido,1.40800,0.00020,2.99770,0.00020,4.40680,8.22780,121.539
paralelo,12,2000000,130,sostenido,1.39770,0.00030,4.01100,0.00010,5.41080,9.95500,100.452
paralelo,12,2000000,131,sostenido,1.50700,0.00030,3.43330,0.00010,4.94230,9.65570,103.566
paralelo,12,2000000,132,sostenido,1.24200,0.00030,2.40770,0.00020,3.65140,7.46660,133.930
paralelo,12,2000000,133,sostenido,1.04710,0.00020,2.44260,0.00010,3.49100,7.47480,133.783
paralelo,12,2000000,134,sostenido,1.69020,0.00020,3.25900,0.00020,4.95070,9.19590,108.744
paralelo,12,2000000,135,sostenido,1.18870,0.00030,2.67500,0.00000,3.86500,8.17980,122.252
paralelo,12,2000000,136,sostenido,1.49180,0.00030,2.50030,0.00010,3.99350,7.73900,129.216
paralelo,12,2000000,137,sostenido,1.05600,0.00040,2.90820,0.00020,3.96600,8.06250,124.031
paralelo,12,2000000,138,sostenido,1.33230,0.00020,2.78940,0.00020,4.12290,8.18670,122.149
paralelo,12,2000000,139,sostenido,1.20250,0.00030,3.47270,0.00030,4.67670,8.51660,117.418
paralelo,12,2000000,140,sostenido,1.40060,0.00020,2.82140,0.00010,4.22380,8.41080,118.895
paralelo,12,2000000,141,sostenido,1.41590,0.00040,3.86950,0.00030,5.28700,10.23340,97.719
