Equipo     : Intel64 Family 6 Model 151 Stepping 5, GenuineIntel | 12 hilos logicos
[104/180] N=500000 paralelo 8 hilo(s), repeticion 4
[105/180] N=500000 paralelo 8 hilo(s), repeticion 5
[106/180] N=500000 paralelo 8 hilo(s), repeticion 6
[107/180] N=500000 paralelo 8 hilo(s), repeticion 7
[108/180] N=500000 paralelo 8 hilo(s), repeticion 8
[109/180] N=500000 paralelo 8 hilo(s), repeticion 9
[110/180] N=500000 paralelo 8 hilo(s), repeticion 10
[111/180] N=500000 paralelo 12 hilo(s), repeticion 1
[112/180] N=500000 paralelo 12 hilo(s), repeticion 2
[113/180] N=500000 paralelo 12 hilo(s), repeticion 3
[114/180] N=500000 paralelo 12 hilo(s), repeticion 4
[115/180] N=500000 paralelo 12 hilo(s), repeticion 5
[116/180] N=500000 paralelo 12 hilo(s), repeticion 6
[117/180] N=500000 paralelo 12 hilo(s), repeticion 7
[118/180] N=500000 paralelo 12 hilo(s), repeticion 8
[119/180] N=500000 paralelo 12 hilo(s), repeticion 9
[120/180] N=500000 paralelo 12 hilo(s), repeticion 10
[121/180] N=2000000 secuencial 1 hilo(s), repeticion 1
[122/180] N=2000000 secuencial 1 hilo(s), repeticion 2
[123/180] N=2000000 secuencial 1 hilo(s), repeticion 3
[124/180] N=2000000 secuencial 1 hilo(s), repeticion 4
[125/180] N=2000000 secuencial 1 hilo(s), repeticion 5
[126/180] N=2000000 secuencial 1 hilo(s), repeticion 6
[127/180] N=2000000 secuencial 1 hilo(s), repeticion 7
[128/180] N=2000000 secuencial 1 hilo(s), repeticion 8
[129/180] N=2000000 secuencial 1 hilo(s), repeticion 9
[130/180] N=2000000 secuencial 1 hilo(s), repeticion 10
[131/180] N=2000000 paralelo 1 hilo(s), repeticion 1
[132/180] N=2000000 paralelo 1 hilo(s), repeticion 2
[133/180] N=2000000 paralelo 1 hilo(s), repeticion 3
[134/180] N=2000000 paralelo 1 hilo(s), repeticion 4
[135/180] N=2000000 paralelo 1 hilo(s), repeticion 5
[136/180] N=2000000 paralelo 1 hilo(s), repeticion 6
[137/180] N=2000000 paralelo 1 hilo(s), repeticion 7
[138/180] N=2000000 paralelo 1 hilo(s), repeticion 8
[139/180] N=2000000 paralelo 1 hilo(s), repeticion 9
[140/180] N=2000000 paralelo 1 hilo(s), repeticion 10
[141/180] N=2000000 paralelo 2 hilo(s), repeticion 1
[142/180] N=2000000 paralelo 2 hilo(s), repeticion 2
[143/180] N=2000000 paralelo 2 hilo(s), repeticion 3
[144/180] N=2000000 paralelo 2 hilo(s), repeticion 4
[145/180] N=2000000 paralelo 2 hilo(s), repeticion 5
[146/180] N=2000000 paralelo 2 hilo(s), repeticion 6
[147/180] N=2000000 paralelo 2 hilo(s), repeticion 7
[148/180] N=2000000 paralelo 2 hilo(s), repeticion 8
[149/180] N=2000000 paralelo 2 hilo(s), repeticion 9
[150/180] N=2000000 paralelo 2 hilo(s), repeticion 10
[151/180] N=2000000 paralelo 4 hilo(s), repeticion 1
[152/180] N=2000000 paralelo 4 hilo(s), repeticion 2
[153/180] N=2000000 paralelo 4 hilo(s), repeticion 3
[154/180] N=2000000 paralelo 4 hilo(s), repeticion 4
[155/180] N=2000000 paralelo 4 hilo(s), repeticion 5
[156/180] N=2000000 paralelo 4 hilo(s), repeticion 6
[157/180] N=2000000 paralelo 4 hilo(s), repeticion 7
[158/180] N=2000000 paralelo 4 hilo(s), repeticion 8
[159/180] N=2000000 paralelo 4 hilo(s), repeticion 9
[160/180] N=2000000 paralelo 4 hilo(s), repeticion 10
[161/180] N=2000000 paralelo 8 hilo(s), repeticion 1
[162/180] N=2000000 paralelo 8 hilo(s), repeticion 2
[163/180] N=2000000 paralelo 8 hilo(s), repeticion 3
[164/180] N=2000000 paralelo 8 hilo(s), repeticion 4
[165/180] N=2000000 paralelo 8 hilo(s), repeticion 5
[166/180] N=2000000 paralelo 8 hilo(s), repeticion 6
[167/180] N=2000000 paralelo 8 hilo(s), repeticion 7
[168/180] N=2000000 paralelo 8 hilo(s), repeticion 8
