version,hilos,n_solicitado,frame,fase,update_ms,mobs_ms,build_ms,sombras_ms,cpu_ms,frame_ms,fps
secuencial,1,2000000,61,sostenido,3.17500,0.00040,8.46080,0.00010,11.63720,16.86440,59.297
secuencial,1,2000000,62,sostenido,3.39130,0.00030,8.21570,0.00010,11.60820,16.75270,59.692
secuencial,1,2000000,63,sostenido,3.35840,0.00020,8.64260,0.00010,12.00230,17.28090,57.867
secuencial,1,2000000,64,sostenido,3.19670,0.00020,10.39820,0.00020,13.59680,19.41820,51.498
secuencial,1,2000000,65,sostenido,6.87850,0.00070,19.12090,0.00020,26.00150,31.54410,31.702
secuencial,1,2000000,66,sostenido,4.87350,0.00030,8.88170,0.00000,13.75650,18.87480,52.981
secuencial,1,2000000,67,sostenido,4.13480,0.00040,8.80170,0.00000,12.93810,18.13280,55.149
secuencial,1,2000000,68,sostenido,3.44690,0.00040,8.72610,0.00010,12.17440,17.52210,57.071
secuencial,1,2000000,69,sostenido,3.35300,0.00050,8.85210,0.00010,12.20660,17.40780,57.446
secuencial,1,2000000,70,sostenido,4.94050,0.00030,10.84290,0.00030,15.78580,21.85340,45.759
secuencial,1,2000000,71,sostenido,4.17940,0.00030,8.82180,0.00010,13.00260,19.08000,52.411
secuencial,1,2000000,72,sostenido,3.90180,0.00020,8.80390,0.00010,12.70690,18.33790,54.532
secuencial,1,2000000,73,sostenido,3.36370,0.00040,8.63400,0.00010,11.99910,17.09370,58.501
secuencial,1,2000000,74,sostenido,3.24170,0.00030,9.77020,0.00030,13.01370,18.34540,54.510
secuencial,1,2000000,75,sostenido,6.14030,0.00040,12.23010,0.00020,18.37230,24.70790,40.473
secuencial,1,2000000,76,sostenido,4.88830,0.00030,8.97110,0.00010,13.86080,19.58680,51.055
secuencial,1,2000000,77,sostenido,3.54770,0.00030,11.29020,0.00010,14.83960,20.57390,48.605
secuencial,1,2000000,78,sostenido,3.83520,0.00020,11.37630,0.00010,15.21320,21.84670,45.774
secuencial,1,2000000,79,sostenido,5.25560,0.00050,10.58590,0.00020,15.84370,22.57200,44.303
secuencial,1,2000000,80,sostenido,4.40020,0.00030,8.78340,0.00020,13.18540,21.13340,47.318
secuencial,1,2000000,81,sostenido,6.78420,0.00030,13.47780,0.00010,20.26340,25.61500,39.040
secuencial,1,2000000,82,sostenido,4.76440,0.00030,8.77170,0.00010,13.53760,19.47450,51.349
secuencial,1,2000000,83,sostenido,3.97420,0.00040,9.28490,0.00020,13.26080,19.81460,50.468
secuencial,1,2000000,84,sostenido,3.53020,0.00030,8.94900,0.00020,12.48100,18.11550,55.201
secuencial,1,2000000,85,sostenido,3.43710,0.00030,10.25810,0.00010,13.69670,18.96510,52.728
secuencial,1,2000000,86,sostenido,4.78260,0.00050,8.87580,0.00020,13.66010,19.32160,51.756
secuencial,1,2000000,87,sostenido,4.41610,0.00030,8.88370,0.00010,13.30110,18.66770,53.568
secuencial,1,2000000,88,sostenido,3.75880,0.00040,10.09090,0.00020,13.85160,19.32400,51.749
secuencial,1,2000000,89,sostenido,3.25850,0.00030,9.59660,0.00010,12.85660,18.79500,53.206
secuencial,1,2000000,90,sostenido,3.61110,0.00030,8.71860,0.00020,12.33110,18.27920,54.707
